Vineyard Name,City,Country,Today+1 Min Temp,Today+2 Min Temp,Today+3 Min Temp,Alpha-2 code,"lat,long",lat,long
Braur Du Mathtel,Vacognes-Neuilly,France,,,,FR,"49.074299,-0.5239",49.074299,-0.5239
Las Spacer,Fuentes de Cesna,Spain,,,,ES,"37.271461,-4.22922",37.271461,-4.22922
Sagplaines Haven,Leigh Creek,Australia,,,,AU,"-30.48333,138.416672",-30.48333,138.416672
Grand Ningoaks Du Marmid,Sortosville-en-Beaumont,France,,,,FR,"49.431068,-1.69168",49.431068,-1.69168
Sland Creek,New Brockton,United States,,,,US,"31.385719,-85.92939",31.385719,-85.92939
Porto Ncilla,Purranque,Chile,,,,CL,"-40.916672,-73.166672",-40.916672,-73.166672
Mount Attionquences,Chacarita,Argentina,,,,AR,"-34.587009,-58.452499",-34.587009,-58.452499
San Leydartif,Bocchigliero,Italy,,,,IT,"39.4198,16.749001",39.4198,16.749001
Nterreerstonebac Hill,Knysna,South Africa,,,,ZA,"-34.03627,23.047131",-34.03627,23.047131
Mount Glennalwest,Sanderston,Australia,,,,AU,"-34.75,139.216675",-34.75,139.216675
Porta Rimtra,Santiago da Guarda,Portugal,,,,PT,"39.933781,-8.49358",39.933781,-8.49358
Mount Wyndher,Hillcrest,South Africa,,,,ZA,"-29.77475,30.76396",-29.77475,30.76396
Port Bellburn,Heber Springs,United States,,,,US,"35.49147,-92.031258",35.49147,-92.031258
Tionbunkur,Tzaneen,South Africa,,,,ZA,"-23.83322,30.163509",-23.83322,30.163509
Port Castcanarri,Malfa,Italy,,,,IT,"38.57597,14.83547",38.57597,14.83547
Grand Borroyal,Saulieu,France,,,,FR,"47.280231,4.22857",47.280231,4.22857
El Bec,Navalmoralejo,Spain,,,,ES,"39.739281,-5.14359",39.739281,-5.14359
La Horn,Quilleco,Chile,,,,CL,"-37.466671,-71.966667",-37.466671,-71.966667
